date,ward,chlorine_mgL,turbidity_NTU
2020-01-15,Podanur,0.46,16.6
2020-01-15,Thudiyalur,0.2,26.2
2020-01-15,Vadakovai,0.05,20.5
2020-01-15,Ganapathy,0.05,13.5
2020-01-15,Kalapatti,0.05,13.4
2020-01-15,Kovaipudur,0.05,19.6
2020-01-15,Selvapuram,0.05,21.8
2020-01-15,Kurichi,0.12,20.5
2020-01-15,Vadavalli,0.05,17.5
2020-01-22,Gandhipuram,0.53,11.4
2020-01-22,RS Puram,0.3,26.9
2020-01-22,Saibaba Colony,0.19,11.1
2020-01-22,Peelamedu,0.13,17.2
2020-01-22,Singanallur,0.05,23.6
2020-01-22,Saravanampatti,0.05,31.6
2020-01-22,Race Course,0.05,23.1
2020-01-22,Ukkadam,0.36,16.4
2020-01-22,Town Hall,0.17,17.4
2020-01-22,Kuniyamuthur,0.05,8.9
2020-01-22,Sundarapuram,0.05,19.3
2020-01-22,Podanur,0.45,18.7
2020-01-22,Thudiyalur,0.36,15.4
2020-01-22,Vadakovai,0.05,19.8
2020-01-22,Ganapathy,0.22,11.6
2020-01-22,Kalapatti,0.05,16.1
2020-01-22,Kovaipudur,0.28,15.6
2020-01-22,Selvapuram,0.28,13.7
2020-01-22,Kurichi,0.05,20.6
2020-01-22,Vadavalli,0.11,10.8
2020-01-29,Gandhipuram,0.1,17.7
2020-01-29,RS Puram,0.12,32.4
2020-01-29,Saibaba Colony,0.32,15.2
2020-01-29,Peelamedu,0.32,17.4
2020-01-29,Singanallur,0.05,23.1
2020-01-29,Saravanampatti,0.05,18.0
2020-01-29,Race Course,0.07,16.6
2020-01-29,Ukkadam,0.25,17.6
2020-01-29,Town Hall,0.07,23.5
2020-01-29,Kuniyamuthur,0.05,26.4
2020-01-29,Sundarapuram,0.05,14.4
2020-01-29,Podanur,0.05,36.1
2020-01-29,Thudiyalur,0.38,22.2
2020-01-29,Vadakovai,0.05,24.2
2020-01-29,Ganapathy,0.05,19.8
2020-01-29,Kalapatti,0.05,27.2
2020-01-29,Kovaipudur,0.07,12.7
2020-01-29,Selvapuram,0.07,15.1
2020-01-29,Kurichi,0.05,27.5
2020-01-29,Vadavalli,0.14,14.3
2020-02-05,Gandhipuram,0.14,14.9
2020-02-05,RS Puram,0.05,19.6
2020-02-05,Saibaba Colony,0.23,8.5
2020-02-05,Peelamedu,0.45,10.9
2020-02-05,Singanallur,0.05,12.9
2020-02-05,Saravanampatti,0.05,24.6
2020-02-05,Race Course,0.05,12.7
2020-02-05,Ukkadam,0.18,19.3
2020-02-05,Town Hall,0.1,9.5
2020-02-05,Kuniyamuthur,0.17,8.8
2020-02-05,Sundarapuram,0.31,10.2
2020-02-05,Podanur,0.05,22.7
2020-02-05,Thudiyalur,0.45,14.0
2020-02-05,Vadakovai,0.05,10.2
2020-02-05,Ganapathy,0.16,13.7
2020-02-05,Kalapatti,0.05,27.5
2020-02-05,Kovaipudur,0.32,11.6
2020-02-05,Selvapuram,0.09,16.9
2020-02-05,Kurichi,0.05,15.3
2020-02-05,Vadavalli,0.05,17.9
2020-02-12,Gandhipuram,0.05,21.6
2020-02-12,RS Puram,0.41,9.3
2020-02-12,Saibaba Colony,0.27,9.4
2020-02-12,Peelamedu,0.05,24.6
2020-02-12,Singanallur,0.28,12.8
2020-02-12,Saravanampatti,0.05,28.2
2020-02-12,Race Course,0.2,13.6
2020-02-12,Ukkadam,0.05,27.6
2020-02-12,Town Hall,0.11,16.3
2020-02-12,Kuniyamuthur,0.05,20.2
2020-02-12,Sundarapuram,0.05,12.4
2020-02-12,Podanur,0.06,24.1
2020-02-12,Thudiyalur,0.41,11.9
2020-02-12,Vadakovai,0.05,15.9
2020-02-12,Ganapathy,0.05,10.8
2020-02-12,Kalapatti,0.06,15.5
2020-02-12,Kovaipudur,0.05,19.7
2020-02-12,Selvapuram,0.1,15.3
2020-02-12,Kurichi,0.21,16.1
2020-02-12,Vadavalli,0.05,15.8
2020-02-19,Gandhipuram,0.25,13.0
2020-02-19,RS Puram,0.52,17.4
2020-02-19,Saibaba Colony,0.35,16.3
2020-02-19,Peelamedu,0.13,16.4
2020-02-19,Singanallur,0.05,13.8
2020-02-19,Saravanampatti,0.19,14.0
2020-02-19,Race Course,0.05,14.9
2020-02-19,Ukkadam,0.58,18.7
2020-02-19,Town Hall,0.05,14.6
2020-02-19,Kuniyamuthur,0.28,17.3
2020-02-19,Sundarapuram,0.05,18.8
2020-02-19,Podanur,0.05,27.8
2020-02-19,Thudiyalur,0.14,24.4
2020-02-19,Vadakovai,0.05,12.3
2020-02-19,Ganapathy,0.05,9.0
2020-02-19,Kalapatti,0.08,16.4
2020-02-19,Kovaipudur,0.31,15.2
2020-02-19,Selvapuram,0.16,20.2
2020-02-19,Kurichi,0.05,17.2
2020-02-19,Vadavalli,0.05,10.7
2020-02-26,Gandhipuram,0.08,19.0
2020-02-26,RS Puram,0.05,27.6
2020-02-26,Saibaba Colony,0.13,24.6
2020-02-26,Peelamedu,0.05,29.3
2020-02-26,Singanallur,0.05,39.6
2020-02-26,Saravanampatti,0.05,18.6
2020-02-26,Race Course,0.05,16.2
2020-02-26,Ukkadam,0.51,18.5
2020-02-26,Town Hall,0.08,25.0
2020-02-26,Kuniyamuthur,0.34,12.5
2020-02-26,Sundarapuram,0.05,21.8
2020-02-26,Podanur,0.05,21.7
2020-02-26,Thudiyalur,0.33,23.5
2020-02-26,Vadakovai,0.05,14.4
2020-02-26,Ganapathy,0.05,29.2
2020-02-26,Kalapatti,0.05,24.7
2020-02-26,Kovaipudur,0.34,11.1
2020-02-26,Selvapuram,0.1,21.3
2020-02-26,Kurichi,0.28,17.3
2020-02-26,Vadavalli,0.18,13.8
2020-03-04,Gandhipuram,0.05,27.6
2020-03-04,RS Puram,0.68,11.7
2020-03-04,Saibaba Colony,0.27,13.1
2020-03-04,Peelamedu,0.05,21.9
2020-03-04,Singanallur,0.05,8.8
2020-03-04,Saravanampatti,0.05,21.4
2020-03-04,Race Course,0.05,15.8
2020-03-04,Ukkadam,0.63,9.5
2020-03-04,Town Hall,0.05,20.1
2020-03-04,Kuniyamuthur,0.05,22.2
2020-03-04,Sundarapuram,0.05,17.4
2020-03-04,Podanur,0.3,23.8
2020-03-04,Thudiyalur,0.46,15.1
2020-03-04,Vadakovai,0.14,12.2
2020-03-04,Ganapathy,0.05,21.3
2020-03-04,Kalapatti,0.14,13.9
2020-03-04,Kovaipudur,0.07,23.5
2020-03-04,Selvapuram,0.05,28.8
2020-03-04,Kurichi,0.05,20.5
2020-03-04,Vadavalli,0.28,11.7
2020-03-11,Gandhipuram,0.05,11.5
2020-03-11,RS Puram,0.35,15.3
2020-03-11,Saibaba Colony,0.05,21.1
2020-03-11,Peelamedu,0.1,11.1
2020-03-11,Singanallur,0.05,29.1
2020-03-11,Saravanampatti,0.05,16.9
2020-03-11,Race Course,0.05,17.4
2020-03-11,Ukkadam,0.19,23.1
2020-03-11,Town Hall,0.05,22.9
2020-03-11,Kuniyamuthur,0.21,15.7
2020-03-11,Sundarapuram,0.05,21.7
2020-03-11,Podanur,0.48,15.5
2020-03-11,Thudiyalur,0.42,11.8
2020-03-11,Vadakovai,0.05,28.3
2020-03-11,Ganapathy,0.05,19.2
2020-03-11,Kalapatti,0.05,29.1
2020-03-11,Kovaipudur,0.43,16.7
2020-03-11,Selvapuram,0.13,17.8
2020-03-11,Kurichi,0.4,10.4
2020-03-11,Vadavalli,0.05,16.8
2020-03-18,Gandhipuram,0.05,18.2
2020-03-18,RS Puram,0.55,13.0
2020-03-18,Saibaba Colony,0.18,11.9
2020-03-18,Peelamedu,0.56,9.8
2020-03-18,Singanallur,0.05,39.3
2020-03-18,Saravanampatti,0.05,14.0
2020-03-18,Race Course,0.05,19.3
2020-03-18,Ukkadam,0.34,25.0
2020-03-18,Town Hall,0.06,20.9
2020-03-18,Kuniyamuthur,0.05,20.9
2020-03-18,Sundarapuram,0.05,19.0
2020-03-18,Podanur,0.34,15.3
2020-03-18,Thudiyalur,0.32,26.8
2020-03-18,Vadakovai,0.06,19.2
2020-03-18,Ganapathy,0.1,9.5
2020-03-18,Kalapatti,0.05,18.4
2020-03-18,Kovaipudur,0.23,12.5
2020-03-18,Selvapuram,0.05,19.2
2020-03-18,Kurichi,0.18,16.6
2020-03-18,Vadavalli,0.05,33.0
2020-03-25,Gandhipuram,0.05,16.9
2020-03-25,RS Puram,0.56,16.8
2020-03-25,Saibaba Colony,0.23,21.3
2020-03-25,Peelamedu,0.05,20.1
2020-03-25,Singanallur,0.05,24.1
2020-03-25,Saravanampatti,0.05,20.6
2020-03-25,Race Course,0.05,13.5
2020-03-25,Ukkadam,0.37,17.8
2020-03-25,Town Hall,0.37,16.2
2020-03-25,Kuniyamuthur,0.05,18.2
2020-03-25,Sundarapuram,0.05,15.0
2020-03-25,Podanur,0.33,19.7
2020-03-25,Thudiyalur,0.4,17.2
2020-03-25,Vadakovai,0.05,15.5
2020-03-25,Ganapathy,0.05,14.3
2020-03-25,Kalapatti,0.05,24.6
2020-03-25,Kovaipudur,0.14,16.6
2020-03-25,Selvapuram,0.37,13.2
2020-03-25,Kurichi,0.05,37.9
2020-03-25,Vadavalli,0.05,23.9
2020-04-01,Gandhipuram,0.05,26.9
2020-04-01,RS Puram,0.16,19.6
2020-04-01,Saibaba Colony,0.17,15.6
2020-04-01,Peelamedu,0.05,12.1
2020-04-01,Singanallur,0.05,22.1
2020-04-01,Saravanampatti,0.05,15.4
2020-04-01,Race Course,0.05,11.3
2020-04-01,Ukkadam,0.05,30.1
2020-04-01,Town Hall,0.05,21.1
2020-04-01,Kuniyamuthur,0.07,10.3
2020-04-01,Sundarapuram,0.05,17.2
2020-04-01,Podanur,0.41,16.6
2020-04-01,Thudiyalur,0.19,20.3
2020-04-01,Vadakovai,0.05,20.4
2020-04-01,Ganapathy,0.05,20.1
2020-04-01,Kalapatti,0.05,32.5
2020-04-01,Kovaipudur,0.14,26.5
2020-04-01,Selvapuram,0.07,13.2
2020-04-01,Kurichi,0.05,21.1
2020-04-01,Vadavalli,0.06,11.8
2020-04-08,Gandhipuram,0.32,12.3
2020-04-08,RS Puram,0.31,15.9
2020-04-08,Saibaba Colony,0.15,21.2
2020-04-08,Peelamedu,0.11,15.2
2020-04-08,Singanallur,0.05,30.3
2020-04-08,Saravanampatti,0.05,15.7
2020-04-08,Race Course,0.05,15.5
2020-04-08,Ukkadam,0.4,9.2
2020-04-08,Town Hall,0.05,15.8
2020-04-08,Kuniyamuthur,0.05,18.7
2020-04-08,Sundarapuram,0.2,11.5
2020-04-08,Podanur,0.39,15.9
2020-04-08,Thudiyalur,0.05,26.6
2020-04-08,Vadakovai,0.05,16.9
2020-04-08,Ganapathy,0.05,37.5
2020-04-08,Kalapatti,0.05,23.4
2020-04-08,Kovaipudur,0.05,20.7
2020-04-08,Selvapuram,0.1,14.2
2020-04-08,Kurichi,0.05,16.8
2020-04-08,Vadavalli,0.05,18.8
2020-04-15,Gandhipuram,0.05,19.7
2020-04-15,RS Puram,0.42,17.0
2020-04-15,Saibaba Colony,0.05,24.5
2020-04-15,Peelamedu,0.12,12.7
2020-04-15,Singanallur,0.05,23.3
2020-04-15,Saravanampatti,0.05,16.7
2020-04-15,Race Course,0.08,15.7
2020-04-15,Ukkadam,0.26,23.5
2020-04-15,Town Hall,0.05,13.9
2020-04-15,Kuniyamuthur,0.05,19.1
2020-04-15,Sundarapuram,0.05,18.0
2020-04-15,Podanur,0.35,13.1
2020-04-15,Thudiyalur,0.5,15.1
2020-04-15,Vadakovai,0.05,25.9
2020-04-15,Ganapathy,0.05,33.3
2020-04-15,Kalapatti,0.05,20.3
2020-04-15,Kovaipudur,0.45,13.6
2020-04-15,Selvapuram,0.24,15.5
2020-04-15,Kurichi,0.41,22.0
2020-04-15,Vadavalli,0.05,21.4
2020-04-22,Gandhipuram,0.05,27.8
2020-04-22,RS Puram,0.36,9.3
2020-04-22,Saibaba Colony,0.2,17.4
2020-04-22,Peelamedu,0.05,22.0
2020-04-22,Singanallur,0.05,23.1
2020-04-22,Saravanampatti,0.05,30.3
2020-04-22,Race Course,0.05,13.9
2020-04-22,Ukkadam,0.11,16.5
2020-04-22,Town Hall,0.25,16.4
2020-04-22,Kuniyamuthur,0.2,17.2
2020-04-22,Sundarapuram,0.05,12.5
2020-04-22,Podanur,0.55,16.1
2020-04-22,Thudiyalur,0.36,15.7
2020-04-22,Vadakovai,0.05,28.0
2020-04-22,Ganapathy,0.05,22.5
2020-04-22,Kalapatti,0.14,19.0
2020-04-22,Kovaipudur,0.05,18.4
2020-04-22,Selvapuram,0.05,18.8
2020-04-22,Kurichi,0.32,16.3
2020-04-22,Vadavalli,0.05,14.2
2020-04-29,Gandhipuram,0.05,19.9
2020-04-29,RS Puram,0.59,14.4
2020-04-29,Saibaba Colony,0.05,17.3
2020-04-29,Peelamedu,0.17,10.7
2020-04-29,Singanallur,0.05,23.1
2020-04-29,Saravanampatti,0.05,19.1
2020-04-29,Race Course,0.05,20.0
2020-04-29,Ukkadam,0.29,10.3
2020-04-29,Town Hall,0.15,19.9
2020-04-29,Kuniyamuthur,0.27,13.2
2020-04-29,Sundarapuram,0.05,15.1
2020-04-29,Podanur,0.46,15.6
2020-04-29,Thudiyalur,0.33,16.1
2020-04-29,Vadakovai,0.05,18.2
2020-04-29,Ganapathy,0.05,28.3
2020-04-29,Kalapatti,0.05,17.5
2020-04-29,Kovaipudur,0.05,15.0
2020-04-29,Selvapuram,0.24,8.4
2020-04-29,Kurichi,0.26,14.3
2020-04-29,Vadavalli,0.05,11.8
2020-05-06,Gandhipuram,0.05,21.9
2020-05-06,RS Puram,0.34,18.8
2020-05-06,Saibaba Colony,0.05,21.6
2020-05-06,Peelamedu,0.17,16.6
2020-05-06,Singanallur,0.16,14.5
2020-05-06,Saravanampatti,0.05,17.6
2020-05-06,Race Course,0.12,13.0
2020-05-06,Ukkadam,0.34,21.2
2020-05-06,Town Hall,0.22,24.6
2020-05-06,Kuniyamuthur,0.05,25.1
2020-05-06,Sundarapuram,0.05,12.4
2020-05-06,Podanur,0.08,30.1
2020-05-06,Thudiyalur,0.13,30.1
2020-05-06,Vadakovai,0.05,17.4
2020-05-06,Ganapathy,0.05,17.3
2020-05-06,Kalapatti,0.05,29.8
2020-05-06,Kovaipudur,0.05,14.1
2020-05-06,Selvapuram,0.22,19.0
2020-05-06,Kurichi,0.16,17.2
2020-05-06,Vadavalli,0.05,17.6
2020-05-13,Gandhipuram,0.17,19.7
2020-05-13,RS Puram,0.05,22.1
2020-05-13,Saibaba Colony,0.24,15.1
2020-05-13,Peelamedu,0.18,16.5
2020-05-13,Singanallur,0.31,9.5
2020-05-13,Saravanampatti,0.15,15.1
2020-05-13,Race Course,0.3,11.5
2020-05-13,Ukkadam,0.23,14.8
2020-05-13,Town Hall,0.05,16.2
2020-05-13,Kuniyamuthur,0.31,13.4
2020-05-13,Sundarapuram,0.05,17.7
2020-05-13,Podanur,0.22,14.8
2020-05-13,Thudiyalur,0.49,10.2
2020-05-13,Vadakovai,0.05,14.2
2020-05-13,Ganapathy,0.05,18.0
2020-05-13,Kalapatti,0.05,22.2
2020-05-13,Kovaipudur,0.05,25.4
2020-05-13,Selvapuram,0.13,12.9
2020-05-13,Kurichi,0.05,16.1
2020-05-13,Vadavalli,0.05,14.5
2020-05-20,Gandhipuram,0.06,16.2
2020-05-20,RS Puram,0.05,24.6
2020-05-20,Saibaba Colony,0.05,20.8
2020-05-20,Peelamedu,0.29,16.3
2020-05-20,Singanallur,0.05,16.4
2020-05-20,Saravanampatti,0.05,24.5
2020-05-20,Race Course,0.05,17.2
2020-05-20,Ukkadam,0.74,7.5
2020-05-20,Town Hall,0.06,18.9
2020-05-20,Kuniyamuthur,0.05,20.7
2020-05-20,Sundarapuram,0.05,16.4
2020-05-20,Podanur,0.17,19.7
2020-05-20,Thudiyalur,0.26,11.1
2020-05-20,Vadakovai,0.05,13.4
2020-05-20,Ganapathy,0.05,24.4
2020-05-20,Kalapatti,0.05,19.2
2020-05-20,Kovaipudur,0.05,28.1
2020-05-20,Selvapuram,0.26,17.5
2020-05-20,Kurichi,0.05,28.2
2020-05-20,Vadavalli,0.05,10.5
2020-05-27,Gandhipuram,0.05,17.3
2020-05-27,RS Puram,0.29,17.7
2020-05-27,Saibaba Colony,0.05,22.0
2020-05-27,Peelamedu,0.2,21.7
2020-05-27,Singanallur,0.05,17.0
2020-05-27,Saravanampatti,0.05,19.8
2020-05-27,Race Course,0.05,24.8
2020-05-27,Ukkadam,0.26,20.2
2020-05-27,Town Hall,0.05,21.2
2020-05-27,Kuniyamuthur,0.34,14.7
2020-05-27,Sundarapuram,0.05,22.7
2020-05-27,Podanur,0.45,19.6
2020-05-27,Thudiyalur,0.46,17.8
2020-05-27,Vadakovai,0.05,23.1
2020-05-27,Ganapathy,0.07,22.0
2020-05-27,Kalapatti,0.05,18.7
2020-05-27,Kovaipudur,0.05,26.3
2020-05-27,Selvapuram,0.07,15.9
2020-05-27,Kurichi,0.05,17.0
2020-05-27,Vadavalli,0.05,13.6
2020-06-03,Gandhipuram,0.05,77.4
2020-06-03,RS Puram,0.05,99.9
2020-06-03,Saibaba Colony,0.05,82.3
2020-06-03,Peelamedu,0.05,82.3
2020-06-03,Singanallur,0.05,67.3
2020-06-03,Saravanampatti,0.05,70.8
2020-06-03,Race Course,0.05,62.3
2020-06-03,Ukkadam,0.05,35.0
2020-06-03,Town Hall,0.05,72.5
2020-06-03,Kuniyamuthur,0.05,95.8
2020-06-03,Sundarapuram,0.05,87.2
2020-06-03,Podanur,0.05,89.6
2020-06-03,Thudiyalur,0.05,71.9
2020-06-03,Vadakovai,0.05,65.9
2020-06-03,Ganapathy,0.05,72.8
2020-06-03,Kalapatti,0.05,63.1
2020-06-03,Kovaipudur,0.05,145.3
2020-06-03,Selvapuram,0.05,127.9
2020-06-03,Kurichi,0.05,77.6
2020-06-03,Vadavalli,0.05,113.1
2020-06-10,Gandhipuram,0.05,223.9
2020-06-10,RS Puram,0.05,207.6
2020-06-10,Saibaba Colony,0.05,250.8
2020-06-10,Peelamedu,0.05,194.3
2020-06-10,Singanallur,0.05,194.6
2020-06-10,Saravanampatti,0.05,180.7
2020-06-10,Race Course,0.05,176.8
2020-06-10,Ukkadam,0.05,157.1
2020-06-10,Town Hall,0.05,185.2
2020-06-10,Kuniyamuthur,0.05,158.8
2020-06-10,Sundarapuram,0.05,166.8
2020-06-10,Podanur,0.05,171.3
2020-06-10,Thudiyalur,0.05,177.9
2020-06-10,Vadakovai,0.05,248.5
2020-06-10,Ganapathy,0.05,169.8
2020-06-10,Kalapatti,0.05,162.5
2020-06-10,Kovaipudur,0.05,361.4
2020-06-10,Selvapuram,0.05,164.0
2020-06-10,Kurichi,0.05,184.1
2020-06-10,Vadavalli,0.05,168.4
2020-06-17,Gandhipuram,0.05,135.7
2020-06-17,RS Puram,0.05,123.8
2020-06-17,Saibaba Colony,0.05,175.7
2020-06-17,Peelamedu,0.05,151.2
2020-06-17,Singanallur,0.05,176.0
2020-06-17,Saravanampatti,0.05,174.5
2020-06-17,Race Course,0.05,228.5
2020-06-17,Ukkadam,0.05,247.5
2020-06-17,Town Hall,0.05,117.7
2020-06-17,Kuniyamuthur,0.05,166.6
2020-06-17,Sundarapuram,0.05,206.0
2020-06-17,Podanur,0.05,221.7
2020-06-17,Thudiyalur,0.05,153.3
2020-06-17,Vadakovai,0.05,150.2
2020-06-17,Ganapathy,0.05,190.3
2020-06-17,Kalapatti,0.05,176.4
2020-06-17,Kovaipudur,0.05,159.6
2020-06-17,Selvapuram,0.05,183.1
2020-06-17,Kurichi,0.05,188.4
2020-06-17,Vadavalli,0.05,165.6
2020-06-24,Gandhipuram,0.05,166.7
2020-06-24,RS Puram,0.05,192.7
2020-06-24,Saibaba Colony,0.05,190.2
2020-06-24,Peelamedu,0.05,173.7
2020-06-24,Singanallur,0.05,170.6
2020-06-24,Saravanampatti,0.05,180.0
2020-06-24,Race Course,0.05,113.0
2020-06-24,Ukkadam,0.05,169.4
2020-06-24,Town Hall,0.05,119.6
2020-06-24,Kuniyamuthur,0.05,163.6
2020-06-24,Sundarapuram,0.05,143.6
2020-06-24,Podanur,0.05,243.5
2020-06-24,Thudiyalur,0.05,231.3
2020-06-24,Vadakovai,0.05,186.0
2020-06-24,Ganapathy,0.05,172.6
2020-06-24,Kalapatti,0.05,204.6
2020-06-24,Kovaipudur,0.05,126.2
2020-06-24,Selvapuram,0.05,175.5
2020-06-24,Kurichi,0.05,152.9
2020-06-24,Vadavalli,0.05,162.4
2020-07-01,Gandhipuram,0.05,175.5
2020-07-01,RS Puram,0.05,211.2
2020-07-01,Saibaba Colony,0.05,150.0
2020-07-01,Peelamedu,0.05,168.2
2020-07-01,Singanallur,0.05,140.1
2020-07-01,Saravanampatti,0.05,214.1
2020-07-01,Race Course,0.05,231.9
2020-07-01,Ukkadam,0.05,164.0
2020-07-01,Town Hall,0.05,175.1
2020-07-01,Kuniyamuthur,0.05,188.0
2020-07-01,Sundarapuram,0.05,181.1
2020-07-01,Podanur,0.05,240.8
2020-07-01,Thudiyalur,0.05,155.5
2020-07-01,Vadakovai,0.05,239.7
2020-07-01,Ganapathy,0.05,187.4
2020-07-01,Kalapatti,0.05,187.9
2020-07-01,Kovaipudur,0.05,163.7
2020-07-01,Selvapuram,0.05,253.6
2020-07-01,Kurichi,0.05,171.1
2020-07-01,Vadavalli,0.05,232.2
2020-07-08,Gandhipuram,0.05,160.7
2020-07-08,RS Puram,0.05,141.4
2020-07-08,Saibaba Colony,0.05,283.9
2020-07-08,Peelamedu,0.05,182.6
2020-07-08,Singanallur,0.05,138.2
2020-07-08,Saravanampatti,0.05,196.3
2020-07-08,Race Course,0.05,266.3
2020-07-08,Ukkadam,0.05,154.4
2020-07-08,Town Hall,0.05,229.2
2020-07-08,Kuniyamuthur,0.05,167.4
2020-07-08,Sundarapuram,0.05,165.7
2020-07-08,Podanur,0.05,195.8
2020-07-08,Thudiyalur,0.05,165.7
2020-07-08,Vadakovai,0.05,141.0
2020-07-08,Ganapathy,0.05,217.1
2020-07-08,Kalapatti,0.05,182.3
2020-07-08,Kovaipudur,0.05,178.7
2020-07-08,Selvapuram,0.05,123.2
2020-07-08,Kurichi,0.05,176.8
2020-07-08,Vadavalli,0.05,152.7
2020-07-15,Gandhipuram,0.05,172.2
2020-07-15,RS Puram,0.05,163.1
2020-07-15,Saibaba Colony,0.05,210.7
2020-07-15,Peelamedu,0.05,197.2
2020-07-15,Singanallur,0.05,170.2
2020-07-15,Saravanampatti,0.05,141.7
2020-07-15,Race Course,0.05,242.2
2020-07-15,Ukkadam,0.05,231.2
2020-07-15,Town Hall,0.05,183.5
2020-07-15,Kuniyamuthur,0.05,162.8
2020-07-15,Sundarapuram,0.05,135.2
2020-07-15,Podanur,0.05,193.4
2020-07-15,Thudiyalur,0.05,163.2
2020-07-15,Vadakovai,0.05,155.0
2020-07-15,Ganapathy,0.05,119.0
2020-07-15,Kalapatti,0.05,227.1
2020-07-15,Kovaipudur,0.05,177.5
2020-07-15,Selvapuram,0.05,154.7
2020-07-15,Kurichi,0.05,162.7
2020-07-15,Vadavalli,0.05,176.9
2020-07-22,Gandhipuram,0.05,181.1
2020-07-22,RS Puram,0.05,179.5
2020-07-22,Saibaba Colony,0.05,208.7
2020-07-22,Peelamedu,0.05,152.7
2020-07-22,Singanallur,0.05,162.3
2020-07-22,Saravanampatti,0.05,143.3
2020-07-22,Race Course,0.05,184.4
2020-07-22,Ukkadam,0.05,154.6
2020-07-22,Town Hall,0.05,167.1
2020-07-22,Kuniyamuthur,0.05,186.0
2020-07-22,Sundarapuram,0.05,162.1
2020-07-22,Podanur,0.05,152.0
2020-07-22,Thudiyalur,0.05,167.5
2020-07-22,Vadakovai,0.05,186.1
2020-07-22,Ganapathy,0.05,135.4
2020-07-22,Kalapatti,0.05,169.6
2020-07-22,Kovaipudur,0.05,215.0
2020-07-22,Selvapuram,0.05,180.2
2020-07-22,Kurichi,0.05,125.1
2020-07-22,Vadavalli,0.05,181.5
2020-07-29,Gandhipuram,0.05,167.4
2020-07-29,RS Puram,0.05,146.9
2020-07-29,Saibaba Colony,0.05,201.6
2020-07-29,Peelamedu,0.05,133.9
2020-07-29,Singanallur,0.05,144.1
2020-07-29,Saravanampatti,0.05,169.0
2020-07-29,Race Course,0.05,185.1
2020-07-29,Ukkadam,0.05,178.6
2020-07-29,Town Hall,0.05,116.3
2020-07-29,Kuniyamuthur,0.05,170.1
2020-07-29,Sundarapuram,0.05,159.6
2020-07-29,Podanur,0.05,200.9
2020-07-29,Thudiyalur,0.05,208.3
2020-07-29,Vadakovai,0.05,142.8
2020-07-29,Ganapathy,0.05,145.6
2020-07-29,Kalapatti,0.05,154.8
2020-07-29,Kovaipudur,0.05,212.8
2020-07-29,Selvapuram,0.05,179.2
2020-07-29,Kurichi,0.05,194.3
2020-07-29,Vadavalli,0.05,213.0
2020-08-05,Gandhipuram,0.05,153.5
2020-08-05,RS Puram,0.05,171.6
2020-08-05,Saibaba Colony,0.05,194.2
2020-08-05,Peelamedu,0.05,199.9
2020-08-05,Singanallur,0.05,159.9
2020-08-05,Saravanampatti,0.05,116.5
2020-08-05,Race Course,0.05,188.0
2020-08-05,Ukkadam,0.05,149.1
2020-08-05,Town Hall,0.05,185.3
2020-08-05,Kuniyamuthur,0.05,180.0
2020-08-05,Sundarapuram,0.05,151.5
