date,ward,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_cases
26-02-2020,Kovaipudur,8,7,10,4
26-02-2020,Selvapuram,5,9,5,5
26-02-2020,Kurichi,4,9,13,6
26-02-2020,Vadavalli,8,11,13,10
04-03-2020,Gandhipuram,10,11,6,17
04-03-2020,RS Puram,2,9,6,1
04-03-2020,Saibaba Colony,9,5,7,8
04-03-2020,Peelamedu,7,11,10,7
04-03-2020,Singanallur,9,13,8,12
04-03-2020,Saravanampatti,26,27,16,14
04-03-2020,Race Course,12,12,8,14
04-03-2020,Ukkadam,6,9,2,5
04-03-2020,Town Hall,7,9,9,6
04-03-2020,Kuniyamuthur,12,13,5,5
04-03-2020,Sundarapuram,14,16,9,10
04-03-2020,Podanur,5,5,2,2
04-03-2020,Thudiyalur,6,7,7,9
04-03-2020,Vadakovai,4,9,11,15
04-03-2020,Ganapathy,17,19,11,16
04-03-2020,Kalapatti,19,18,10,14
04-03-2020,Kovaipudur,8,9,12,12
04-03-2020,Selvapuram,13,8,6,4
04-03-2020,Kurichi,6,19,12,7
04-03-2020,Vadavalli,15,13,16,3
11-03-2020,Gandhipuram,7,11,15,9
11-03-2020,RS Puram,3,7,7,3
11-03-2020,Saibaba Colony,6,7,16,3
11-03-2020,Peelamedu,9,12,8,4
11-03-2020,Singanallur,14,24,12,10
11-03-2020,Saravanampatti,24,21,20,13
11-03-2020,Race Course,11,18,21,6
11-03-2020,Ukkadam,12,12,5,5
11-03-2020,Town Hall,6,14,8,3
11-03-2020,Kuniyamuthur,12,8,9,5
11-03-2020,Sundarapuram,13,11,8,8
11-03-2020,Podanur,5,7,8,3
11-03-2020,Thudiyalur,3,9,5,4
11-03-2020,Vadakovai,14,14,9,5
11-03-2020,Ganapathy,12,20,19,12
11-03-2020,Kalapatti,21,24,21,18
11-03-2020,Kovaipudur,9,12,8,6
11-03-2020,Selvapuram,7,12,9,6
11-03-2020,Kurichi,9,7,0,4
11-03-2020,Vadavalli,16,23,14,9
18-03-2020,Gandhipuram,15,20,10,8
18-03-2020,RS Puram,8,6,2,4
18-03-2020,Saibaba Colony,9,13,11,5
18-03-2020,Peelamedu,7,5,2,6
18-03-2020,Singanallur,12,22,19,13
18-03-2020,Saravanampatti,19,26,14,9
18-03-2020,Race Course,9,19,9,8
18-03-2020,Ukkadam,7,10,15,5
18-03-2020,Town Hall,9,8,4,6
18-03-2020,Kuniyamuthur,9,10,8,5
18-03-2020,Sundarapuram,10,16,7,11
18-03-2020,Podanur,4,5,4,0
18-03-2020,Thudiyalur,11,14,9,5
18-03-2020,Vadakovai,9,10,11,8
18-03-2020,Ganapathy,8,8,8,6
18-03-2020,Kalapatti,22,27,21,20
18-03-2020,Kovaipudur,4,10,8,7
18-03-2020,Selvapuram,9,8,9,8
18-03-2020,Kurichi,6,14,10,1
18-03-2020,Vadavalli,15,17,19,7
25-03-2020,Gandhipuram,9,9,8,17
25-03-2020,RS Puram,3,11,7,3
25-03-2020,Saibaba Colony,14,16,13,6
25-03-2020,Peelamedu,6,9,9,5
25-03-2020,Singanallur,16,19,17,13
25-03-2020,Saravanampatti,19,28,16,15
25-03-2020,Race Course,13,10,9,5
25-03-2020,Ukkadam,3,8,4,4
25-03-2020,Town Hall,5,9,10,3
25-03-2020,Kuniyamuthur,9,13,8,4
25-03-2020,Sundarapuram,11,13,9,6
25-03-2020,Podanur,10,6,3,5
25-03-2020,Thudiyalur,6,6,9,4
25-03-2020,Vadakovai,9,6,10,6
25-03-2020,Ganapathy,22,10,14,9
25-03-2020,Kalapatti,26,26,30,17
25-03-2020,Kovaipudur,9,10,9,3
25-03-2020,Selvapuram,6,6,7,4
25-03-2020,Kurichi,8,13,11,6
25-03-2020,Vadavalli,14,14,15,11
01-04-2020,Gandhipuram,18,15,13,8
01-04-2020,RS Puram,4,11,9,2
01-04-2020,Saibaba Colony,11,13,13,7
01-04-2020,Peelamedu,7,4,6,4
01-04-2020,Singanallur,16,18,19,8
01-04-2020,Saravanampatti,18,19,21,17
01-04-2020,Race Course,14,10,12,9
01-04-2020,Ukkadam,9,11,10,7
01-04-2020,Town Hall,6,16,15,8
01-04-2020,Kuniyamuthur,7,9,8,9
01-04-2020,Sundarapuram,10,22,10,13
01-04-2020,Podanur,4,6,5,4
01-04-2020,Thudiyalur,10,15,6,4
01-04-2020,Vadakovai,6,18,9,5
01-04-2020,Ganapathy,15,17,16,14
01-04-2020,Kalapatti,22,22,18,14
01-04-2020,Kovaipudur,14,18,11,4
01-04-2020,Selvapuram,4,11,5,9
01-04-2020,Kurichi,12,21,14,4
01-04-2020,Vadavalli,15,15,11,13
08-04-2020,Gandhipuram,4,18,13,3
08-04-2020,RS Puram,6,9,6,1
08-04-2020,Saibaba Colony,9,17,7,3
08-04-2020,Peelamedu,5,7,8,12
08-04-2020,Singanallur,19,15,9,6
08-04-2020,Saravanampatti,16,27,21,12
08-04-2020,Race Course,8,12,9,9
08-04-2020,Ukkadam,1,7,8,0
08-04-2020,Town Hall,9,4,8,4
08-04-2020,Kuniyamuthur,7,8,7,10
08-04-2020,Sundarapuram,13,11,2,5
08-04-2020,Podanur,4,10,4,2
08-04-2020,Thudiyalur,10,12,9,7
08-04-2020,Vadakovai,15,16,7,8
08-04-2020,Ganapathy,24,12,8,11
08-04-2020,Kalapatti,14,31,27,15
08-04-2020,Kovaipudur,9,8,10,6
08-04-2020,Selvapuram,7,11,8,7
08-04-2020,Kurichi,10,7,6,9
08-04-2020,Vadavalli,15,25,5,9
15-04-2020,Gandhipuram,16,12,7,11
15-04-2020,RS Puram,4,4,8,4
15-04-2020,Saibaba Colony,14,10,11,10
15-04-2020,Peelamedu,7,5,10,6
15-04-2020,Singanallur,12,25,9,14
15-04-2020,Saravanampatti,15,18,21,10
15-04-2020,Race Course,14,9,7,4
15-04-2020,Ukkadam,9,8,3,6
15-04-2020,Town Hall,8,3,12,5
15-04-2020,Kuniyamuthur,9,14,6,7
15-04-2020,Sundarapuram,15,15,10,9
15-04-2020,Podanur,2,2,4,4
15-04-2020,Thudiyalur,4,10,7,1
15-04-2020,Vadakovai,12,17,12,7
15-04-2020,Ganapathy,23,18,26,12
15-04-2020,Kalapatti,25,29,27,14
15-04-2020,Kovaipudur,5,13,4,8
15-04-2020,Selvapuram,9,8,7,3
15-04-2020,Kurichi,5,13,14,6
15-04-2020,Vadavalli,16,21,12,9
22-04-2020,Gandhipuram,11,17,6,8
22-04-2020,RS Puram,3,4,3,2
22-04-2020,Saibaba Colony,4,9,11,7
22-04-2020,Peelamedu,8,13,10,5
22-04-2020,Singanallur,19,27,14,7
22-04-2020,Saravanampatti,20,30,19,13
22-04-2020,Race Course,10,14,16,9
22-04-2020,Ukkadam,9,3,8,11
22-04-2020,Town Hall,7,7,7,4
22-04-2020,Kuniyamuthur,7,14,5,4
22-04-2020,Sundarapuram,15,19,14,8
22-04-2020,Podanur,2,7,2,3
22-04-2020,Thudiyalur,5,7,9,4
22-04-2020,Vadakovai,11,15,9,8
22-04-2020,Ganapathy,28,26,13,11
22-04-2020,Kalapatti,23,31,19,21
22-04-2020,Kovaipudur,14,7,9,5
22-04-2020,Selvapuram,6,6,9,5
22-04-2020,Kurichi,10,11,4,8
22-04-2020,Vadavalli,13,19,11,8
29-04-2020,Gandhipuram,14,13,10,10
29-04-2020,RS Puram,5,9,7,2
29-04-2020,Saibaba Colony,8,6,8,4
29-04-2020,Peelamedu,9,5,5,4
29-04-2020,Singanallur,16,25,15,19
29-04-2020,Saravanampatti,24,30,16,13
29-04-2020,Race Course,13,14,15,8
29-04-2020,Ukkadam,8,10,5,2
29-04-2020,Town Hall,7,8,1,4
29-04-2020,Kuniyamuthur,8,7,9,2
29-04-2020,Sundarapuram,9,13,11,11
29-04-2020,Podanur,4,6,3,2
29-04-2020,Thudiyalur,9,11,11,6
29-04-2020,Vadakovai,8,7,10,3
29-04-2020,Ganapathy,27,20,17,12
29-04-2020,Kalapatti,15,27,23,20
29-04-2020,Kovaipudur,14,10,9,5
29-04-2020,Selvapuram,5,9,5,4
29-04-2020,Kurichi,6,9,7,3
29-04-2020,Vadavalli,10,15,14,10
06-05-2020,Gandhipuram,12,12,19,4
06-05-2020,RS Puram,9,4,9,3
06-05-2020,Saibaba Colony,6,17,18,8
06-05-2020,Peelamedu,13,12,12,4
06-05-2020,Singanallur,13,15,22,11
06-05-2020,Saravanampatti,22,18,20,15
06-05-2020,Race Course,9,13,8,4
06-05-2020,Ukkadam,11,12,12,7
06-05-2020,Town Hall,6,8,9,8
06-05-2020,Kuniyamuthur,9,8,15,8
06-05-2020,Sundarapuram,9,8,15,9
06-05-2020,Podanur,1,3,6,1
06-05-2020,Thudiyalur,7,11,9,11
06-05-2020,Vadakovai,14,16,15,3
06-05-2020,Ganapathy,16,20,19,8
06-05-2020,Kalapatti,20,28,28,10
06-05-2020,Kovaipudur,8,13,12,7
06-05-2020,Selvapuram,2,9,13,11
06-05-2020,Kurichi,6,10,12,9
06-05-2020,Vadavalli,15,10,15,12
13-05-2020,Gandhipuram,12,10,17,8
13-05-2020,RS Puram,12,9,4,5
13-05-2020,Saibaba Colony,3,11,7,3
13-05-2020,Peelamedu,8,7,17,5
13-05-2020,Singanallur,14,7,14,6
13-05-2020,Saravanampatti,15,13,17,11
13-05-2020,Race Course,15,18,11,3
13-05-2020,Ukkadam,4,7,8,6
13-05-2020,Town Hall,5,8,10,6
13-05-2020,Kuniyamuthur,8,13,5,7
13-05-2020,Sundarapuram,16,14,18,5
13-05-2020,Podanur,6,5,8,3
13-05-2020,Thudiyalur,6,9,7,6
13-05-2020,Vadakovai,12,13,19,8
13-05-2020,Ganapathy,18,10,25,7
13-05-2020,Kalapatti,27,27,37,16
13-05-2020,Kovaipudur,9,20,14,11
13-05-2020,Selvapuram,9,9,9,4
13-05-2020,Kurichi,7,6,16,7
13-05-2020,Vadavalli,7,19,22,5
20-05-2020,Gandhipuram,9,12,11,7
20-05-2020,RS Puram,4,9,7,6
20-05-2020,Saibaba Colony,17,16,12,10
20-05-2020,Peelamedu,8,10,14,5
20-05-2020,Singanallur,17,26,25,11
20-05-2020,Saravanampatti,19,31,25,19
20-05-2020,Race Course,14,18,16,12
20-05-2020,Ukkadam,1,6,5,3
20-05-2020,Town Hall,6,9,19,1
20-05-2020,Kuniyamuthur,13,14,16,12
20-05-2020,Sundarapuram,14,4,17,9
20-05-2020,Podanur,8,10,3,2
20-05-2020,Thudiyalur,5,10,6,6
20-05-2020,Vadakovai,10,16,16,8
20-05-2020,Ganapathy,12,23,25,12
20-05-2020,Kalapatti,23,24,32,21
20-05-2020,Kovaipudur,7,7,16,5
20-05-2020,Selvapuram,5,6,8,5
20-05-2020,Kurichi,12,11,18,7
20-05-2020,Vadavalli,12,19,24,7
27-05-2020,Gandhipuram,17,17,16,6
27-05-2020,RS Puram,3,8,3,5
27-05-2020,Saibaba Colony,6,17,21,5
27-05-2020,Peelamedu,11,8,10,4
27-05-2020,Singanallur,10,21,23,14
27-05-2020,Saravanampatti,16,30,22,16
27-05-2020,Race Course,19,19,19,8
27-05-2020,Ukkadam,5,6,13,8
27-05-2020,Town Hall,4,9,8,5
27-05-2020,Kuniyamuthur,10,10,10,8
27-05-2020,Sundarapuram,9,19,10,5
27-05-2020,Podanur,6,6,8,3
27-05-2020,Thudiyalur,9,11,13,2
27-05-2020,Vadakovai,14,17,20,11
27-05-2020,Ganapathy,18,22,23,13
27-05-2020,Kalapatti,15,34,27,16
27-05-2020,Kovaipudur,7,17,9,8
27-05-2020,Selvapuram,6,5,12,9
27-05-2020,Kurichi,12,13,16,7
27-05-2020,Vadavalli,11,15,29,3
03-06-2020,Gandhipuram,18,10,16,10
03-06-2020,RS Puram,9,9,6,4
03-06-2020,Saibaba Colony,11,16,14,6
03-06-2020,Peelamedu,8,14,13,8
03-06-2020,Singanallur,14,20,17,5
03-06-2020,Saravanampatti,26,22,25,20
03-06-2020,Race Course,20,7,22,4
03-06-2020,Ukkadam,16,7,10,7
03-06-2020,Town Hall,12,13,14,3
03-06-2020,Kuniyamuthur,20,8,10,6
03-06-2020,Sundarapuram,17,17,21,12
03-06-2020,Podanur,10,6,8,7
03-06-2020,Thudiyalur,13,4,18,10
03-06-2020,Vadakovai,18,12,24,9
03-06-2020,Ganapathy,24,26,24,12
03-06-2020,Kalapatti,31,27,28,13
03-06-2020,Kovaipudur,13,17,10,9
03-06-2020,Selvapuram,13,20,9,2
03-06-2020,Kurichi,10,13,17,5
03-06-2020,Vadavalli,16,17,18,5
10-06-2020,Gandhipuram,15,18,8,5
10-06-2020,RS Puram,12,10,10,4
10-06-2020,Saibaba Colony,19,18,10,9
10-06-2020,Peelamedu,15,12,16,7
10-06-2020,Singanallur,19,15,20,15
10-06-2020,Saravanampatti,28,23,30,12
10-06-2020,Race Course,20,15,13,6
10-06-2020,Ukkadam,10,13,19,6
10-06-2020,Town Hall,6,13,8,6
10-06-2020,Kuniyamuthur,16,8,12,7
10-06-2020,Sundarapuram,16,16,20,9
10-06-2020,Podanur,7,3,9,4
10-06-2020,Thudiyalur,17,10,12,3
10-06-2020,Vadakovai,19,11,11,11
10-06-2020,Ganapathy,25,28,20,12
10-06-2020,Kalapatti,34,29,35,21
10-06-2020,Kovaipudur,19,13,15,6
10-06-2020,Selvapuram,10,16,11,14
10-06-2020,Kurichi,11,12,17,8
10-06-2020,Vadavalli,27,20,25,9
17-06-2020,Gandhipuram,17,8,20,13
17-06-2020,RS Puram,10,9,9,8
17-06-2020,Saibaba Colony,15,11,17,10
17-06-2020,Peelamedu,16,11,10,8
17-06-2020,Singanallur,23,18,24,15
17-06-2020,Saravanampatti,35,24,28,8
17-06-2020,Race Course,20,12,23,10
17-06-2020,Ukkadam,13,12,14,9
17-06-2020,Town Hall,9,7,10,2
17-06-2020,Kuniyamuthur,14,18,16,6
17-06-2020,Sundarapuram,22,10,15,11
17-06-2020,Podanur,8,11,10,5
17-06-2020,Thudiyalur,12,7,14,8
17-06-2020,Vadakovai,22,13,14,5
17-06-2020,Ganapathy,27,23,25,5
17-06-2020,Kalapatti,31,30,35,11
17-06-2020,Kovaipudur,21,15,20,7
17-06-2020,Selvapuram,17,11,11,6
17-06-2020,Kurichi,18,13,19,6
17-06-2020,Vadavalli,23,22,14,8
24-06-2020,Gandhipuram,24,14,23,11
24-06-2020,RS Puram,11,12,10,5
24-06-2020,Saibaba Colony,15,11,18,6
24-06-2020,Peelamedu,13,14,18,1
24-06-2020,Singanallur,23,19,18,7
24-06-2020,Saravanampatti,25,30,27,17
24-06-2020,Race Course,22,13,14,10
24-06-2020,Ukkadam,15,14,12,3
24-06-2020,Town Hall,12,14,12,4
24-06-2020,Kuniyamuthur,16,13,15,7
24-06-2020,Sundarapuram,20,17,24,10
24-06-2020,Podanur,7,8,5,4
24-06-2020,Thudiyalur,20,17,14,8
24-06-2020,Vadakovai,13,16,11,10
24-06-2020,Ganapathy,28,16,22,9
24-06-2020,Kalapatti,35,36,26,18
24-06-2020,Kovaipudur,15,10,15,6
24-06-2020,Selvapuram,13,14,17,2
24-06-2020,Kurichi,13,12,20,6
24-06-2020,Vadavalli,15,21,24,14
01-07-2020,Gandhipuram,28,31,17,9
01-07-2020,RS Puram,12,12,5,5
01-07-2020,Saibaba Colony,26,26,13,6
01-07-2020,Peelamedu,18,24,13,4
01-07-2020,Singanallur,21,32,24,12
01-07-2020,Saravanampatti,46,36,33,10
01-07-2020,Race Course,13,23,19,5
01-07-2020,Ukkadam,12,14,11,3
01-07-2020,Town Hall,12,8,15,4
01-07-2020,Kuniyamuthur,18,19,14,8
01-07-2020,Sundarapuram,25,14,25,12
01-07-2020,Podanur,3,12,11,8
01-07-2020,Thudiyalur,13,20,9,5
01-07-2020,Vadakovai,20,23,16,13
01-07-2020,Ganapathy,22,37,17,9
01-07-2020,Kalapatti,28,55,28,17
01-07-2020,Kovaipudur,14,12,20,9
01-07-2020,Selvapuram,15,18,13,6
01-07-2020,Kurichi,10,20,20,11
01-07-2020,Vadavalli,22,37,25,14
08-07-2020,Gandhipuram,25,30,22,5
08-07-2020,RS Puram,9,17,10,6
08-07-2020,Saibaba Colony,18,23,19,10
08-07-2020,Peelamedu,15,23,18,11
08-07-2020,Singanallur,24,35,33,9
08-07-2020,Saravanampatti,27,40,29,16
08-07-2020,Race Course,18,14,19,9
08-07-2020,Ukkadam,16,18,12,6
08-07-2020,Town Hall,11,11,7,4
08-07-2020,Kuniyamuthur,26,11,15,6
08-07-2020,Sundarapuram,16,26,21,5
08-07-2020,Podanur,5,7,11,8
08-07-2020,Thudiyalur,21,16,12,4
08-07-2020,Vadakovai,17,25,26,8
08-07-2020,Ganapathy,23,33,26,20
08-07-2020,Kalapatti,36,41,23,13
08-07-2020,Kovaipudur,20,17,15,8
08-07-2020,Selvapuram,15,24,10,6
08-07-2020,Kurichi,12,14,12,8
08-07-2020,Vadavalli,30,22,17,12
15-07-2020,Gandhipuram,19,22,14,10
15-07-2020,RS Puram,10,14,11,7
15-07-2020,Saibaba Colony,17,21,8,11
15-07-2020,Peelamedu,16,15,10,5
15-07-2020,Singanallur,22,37,25,13
15-07-2020,Saravanampatti,38,40,26,17
15-07-2020,Race Course,11,24,17,10
15-07-2020,Ukkadam,16,18,12,9
15-07-2020,Town Hall,11,18,11,5
15-07-2020,Kuniyamuthur,13,21,12,2
15-07-2020,Sundarapuram,14,23,10,3
15-07-2020,Podanur,7,11,9,0
15-07-2020,Thudiyalur,13,20,17,8
15-07-2020,Vadakovai,13,16,27,8
15-07-2020,Ganapathy,26,40,18,9
15-07-2020,Kalapatti,39,48,28,10
15-07-2020,Kovaipudur,15,21,18,4
15-07-2020,Selvapuram,17,15,16,2
15-07-2020,Kurichi,12,30,19,5
15-07-2020,Vadavalli,25,29,22,12
22-07-2020,Gandhipuram,19,28,17,12
22-07-2020,RS Puram,5,10,10,3
22-07-2020,Saibaba Colony,20,28,16,7
22-07-2020,Peelamedu,18,29,11,5
22-07-2020,Singanallur,19,28,26,10
22-07-2020,Saravanampatti,34,43,36,15
22-07-2020,Race Course,21,20,19,8
22-07-2020,Ukkadam,11,12,13,3
22-07-2020,Town Hall,10,11,6,6
22-07-2020,Kuniyamuthur,20,19,14,6
22-07-2020,Sundarapuram,18,29,16,15
22-07-2020,Podanur,9,10,7,4
22-07-2020,Thudiyalur,12,20,15,8
22-07-2020,Vadakovai,17,19,18,4
22-07-2020,Ganapathy,22,36,26,17
22-07-2020,Kalapatti,39,42,35,19
22-07-2020,Kovaipudur,22,23,9,3
22-07-2020,Selvapuram,11,12,8,6
22-07-2020,Kurichi,14,26,22,8
22-07-2020,Vadavalli,26,29,33,5
29-07-2020,Gandhipuram,24,27,21,9
29-07-2020,RS Puram,13,13,11,5
29-07-2020,Saibaba Colony,19,25,14,8
29-07-2020,Peelamedu,21,16,13,10
29-07-2020,Singanallur,25,33,24,10
29-07-2020,Saravanampatti,36,29,35,20
29-07-2020,Race Course,15,38,19,7
29-07-2020,Ukkadam,11,23,13,7
29-07-2020,Town Hall,13,18,13,2
29-07-2020,Kuniyamuthur,7,15,12,4
29-07-2020,Sundarapuram,15,25,14,6
29-07-2020,Podanur,10,11,6,0
29-07-2020,Thudiyalur,10,26,11,8
29-07-2020,Vadakovai,17,28,21,10
29-07-2020,Ganapathy,30,38,21,12
29-07-2020,Kalapatti,31,38,36,12
29-07-2020,Kovaipudur,16,26,23,7
29-07-2020,Selvapuram,10,24,13,8
29-07-2020,Kurichi,11,16,11,6
29-07-2020,Vadavalli,26,28,22,10
05-08-2020,Gandhipuram,27,20,15,9
05-08-2020,RS Puram,18,12,9,8
05-08-2020,Saibaba Colony,15,20,15,13
05-08-2020,Peelamedu,16,21,14,8
05-08-2020,Singanallur,20,30,17,20
05-08-2020,Saravanampatti,37,36,27,21
05-08-2020,Race Course,28,20,17,14
05-08-2020,Ukkadam,12,18,6,11
05-08-2020,Town Hall,15,14,14,7
05-08-2020,Kuniyamuthur,10,19,10,13
05-08-2020,Sundarapuram,19,28,25,16
05-08-2020,Podanur,5,7,5,6
05-08-2020,Thudiyalur,17,13,13,11
05-08-2020,Vadakovai,17,22,21,12
05-08-2020,Ganapathy,22,26,24,26
05-08-2020,Kalapatti,27,38,30,23
05-08-2020,Kovaipudur,12,25,28,11
05-08-2020,Selvapuram,12,16,9,10
05-08-2020,Kurichi,10,20,19,13
05-08-2020,Vadavalli,24,28,25,14
12-08-2020,Gandhipuram,12,23,16,14
12-08-2020,RS Puram,6,19,12,6
12-08-2020,Saibaba Colony,17,20,21,11
12-08-2020,Peelamedu,13,13,14,11
12-08-2020,Singanallur,15,19,17,19
12-08-2020,Saravanampatti,26,29,23,28
12-08-2020,Race Course,15,28,20,11
12-08-2020,Ukkadam,15,15,14,13
12-08-2020,Town Hall,11,15,9,6
12-08-2020,Kuniyamuthur,12,17,15,14
