date,ward,rainfall_mm
2020-01-05,Selvapuram,0.6
2020-01-05,Kurichi,6.7
2020-01-05,Vadavalli,2.3
2020-01-06,Gandhipuram,4.9
2020-01-06,RS Puram,6.8
2020-01-06,Saibaba Colony,1.1
2020-01-06,Peelamedu,0.3
2020-01-06,Singanallur,0.8
2020-01-06,Saravanampatti,1.7
2020-01-06,Race Course,5.1
2020-01-06,Ukkadam,5.9
2020-01-06,Town Hall,0.0
2020-01-06,Kuniyamuthur,2.1
2020-01-06,Sundarapuram,1.6
2020-01-06,Podanur,0.8
2020-01-06,Thudiyalur,0.4
2020-01-06,Vadakovai,1.2
2020-01-06,Ganapathy,8.6
2020-01-06,Kalapatti,1.2
2020-01-06,Kovaipudur,2.2
2020-01-06,Selvapuram,3.6
2020-01-06,Kurichi,1.4
2020-01-06,Vadavalli,10.7
2020-01-07,Gandhipuram,9.8
2020-01-07,RS Puram,0.9
2020-01-07,Saibaba Colony,2.1
2020-01-07,Peelamedu,1.1
2020-01-07,Singanallur,1.0
2020-01-07,Saravanampatti,0.1
2020-01-07,Race Course,2.8
2020-01-07,Ukkadam,2.1
2020-01-07,Town Hall,0.2
2020-01-07,Kuniyamuthur,1.0
2020-01-07,Sundarapuram,7.2
2020-01-07,Podanur,0.8
2020-01-07,Thudiyalur,0.5
2020-01-07,Vadakovai,2.0
2020-01-07,Ganapathy,12.7
2020-01-07,Kalapatti,0.8
2020-01-07,Kovaipudur,3.3
2020-01-07,Selvapuram,4.3
2020-01-07,Kurichi,0.8
2020-01-07,Vadavalli,3.9
2020-01-08,Gandhipuram,1.4
2020-01-08,RS Puram,3.0
2020-01-08,Saibaba Colony,3.0
2020-01-08,Peelamedu,2.3
2020-01-08,Singanallur,0.3
2020-01-08,Saravanampatti,5.4
2020-01-08,Race Course,1.2
2020-01-08,Ukkadam,0.6
2020-01-08,Town Hall,0.1
2020-01-08,Kuniyamuthur,2.7
2020-01-08,Sundarapuram,3.4
2020-01-08,Podanur,0.1
2020-01-08,Thudiyalur,2.2
2020-01-08,Vadakovai,0.8
2020-01-08,Ganapathy,3.1
2020-01-08,Kalapatti,0.6
2020-01-08,Kovaipudur,3.5
2020-01-08,Selvapuram,1.5
2020-01-08,Kurichi,8.3
2020-01-08,Vadavalli,0.4
2020-01-09,Gandhipuram,1.3
2020-01-09,RS Puram,0.4
2020-01-09,Saibaba Colony,7.8
2020-01-09,Peelamedu,6.3
2020-01-09,Singanallur,0.9
2020-01-09,Saravanampatti,3.2
2020-01-09,Race Course,5.1
2020-01-09,Ukkadam,2.4
2020-01-09,Town Hall,2.3
2020-01-09,Kuniyamuthur,0.8
2020-01-09,Sundarapuram,0.3
2020-01-09,Podanur,6.8
2020-01-09,Thudiyalur,6.9
2020-01-09,Vadakovai,3.0
2020-01-09,Ganapathy,1.2
2020-01-09,Kalapatti,1.3
2020-01-09,Kovaipudur,3.9
2020-01-09,Selvapuram,6.8
2020-01-09,Kurichi,6.5
2020-01-09,Vadavalli,4.5
2020-01-10,Gandhipuram,3.1
2020-01-10,RS Puram,0.3
2020-01-10,Saibaba Colony,0.5
2020-01-10,Peelamedu,6.9
2020-01-10,Singanallur,2.8
2020-01-10,Saravanampatti,0.0
2020-01-10,Race Course,0.3
2020-01-10,Ukkadam,3.3
2020-01-10,Town Hall,0.0
2020-01-10,Kuniyamuthur,0.5
2020-01-10,Sundarapuram,2.4
2020-01-10,Podanur,3.5
2020-01-10,Thudiyalur,3.2
2020-01-10,Vadakovai,0.8
2020-01-10,Ganapathy,3.7
2020-01-10,Kalapatti,0.8
2020-01-10,Kovaipudur,1.2
2020-01-10,Selvapuram,4.1
2020-01-10,Kurichi,3.1
2020-01-10,Vadavalli,5.7
2020-01-11,Gandhipuram,3.2
2020-01-11,RS Puram,2.5
2020-01-11,Saibaba Colony,0.3
2020-01-11,Peelamedu,1.4
2020-01-11,Singanallur,0.9
2020-01-11,Saravanampatti,0.8
2020-01-11,Race Course,10.8
2020-01-11,Ukkadam,1.5
2020-01-11,Town Hall,6.7
2020-01-11,Kuniyamuthur,3.0
2020-01-11,Sundarapuram,4.8
2020-01-11,Podanur,2.1
2020-01-11,Thudiyalur,2.6
2020-01-11,Vadakovai,2.0
2020-01-11,Ganapathy,0.7
2020-01-11,Kalapatti,3.8
2020-01-11,Kovaipudur,1.0
2020-01-11,Selvapuram,0.1
2020-01-11,Kurichi,3.1
2020-01-11,Vadavalli,0.6
2020-01-12,Gandhipuram,8.5
2020-01-12,RS Puram,9.2
2020-01-12,Saibaba Colony,7.4
2020-01-12,Peelamedu,1.4
2020-01-12,Singanallur,0.0
2020-01-12,Saravanampatti,7.9
2020-01-12,Race Course,1.7
2020-01-12,Ukkadam,10.2
2020-01-12,Town Hall,9.9
2020-01-12,Kuniyamuthur,5.8
2020-01-12,Sundarapuram,1.0
2020-01-12,Podanur,1.5
2020-01-12,Thudiyalur,5.7
2020-01-12,Vadakovai,1.1
2020-01-12,Ganapathy,0.6
2020-01-12,Kalapatti,2.4
2020-01-12,Kovaipudur,8.3
2020-01-12,Selvapuram,3.6
2020-01-12,Kurichi,2.5
2020-01-12,Vadavalli,0.3
2020-01-13,Gandhipuram,2.9
2020-01-13,RS Puram,13.8
2020-01-13,Saibaba Colony,0.5
2020-01-13,Peelamedu,2.2
2020-01-13,Singanallur,6.3
2020-01-13,Saravanampatti,4.1
2020-01-13,Race Course,3.6
2020-01-13,Ukkadam,3.6
2020-01-13,Town Hall,1.3
2020-01-13,Kuniyamuthur,1.0
2020-01-13,Sundarapuram,5.0
2020-01-13,Podanur,5.0
2020-01-13,Thudiyalur,6.1
2020-01-13,Vadakovai,7.3
2020-01-13,Ganapathy,2.1
2020-01-13,Kalapatti,2.1
2020-01-13,Kovaipudur,4.8
2020-01-13,Selvapuram,3.1
2020-01-13,Kurichi,3.6
2020-01-13,Vadavalli,4.8
2020-01-14,Gandhipuram,6.6
2020-01-14,RS Puram,1.2
2020-01-14,Saibaba Colony,1.4
2020-01-14,Peelamedu,0.3
2020-01-14,Singanallur,2.6
2020-01-14,Saravanampatti,0.1
2020-01-14,Race Course,1.9
2020-01-14,Ukkadam,2.3
2020-01-14,Town Hall,1.0
2020-01-14,Kuniyamuthur,2.7
2020-01-14,Sundarapuram,0.1
2020-01-14,Podanur,0.1
2020-01-14,Thudiyalur,5.2
2020-01-14,Vadakovai,1.3
2020-01-14,Ganapathy,0.4
2020-01-14,Kalapatti,2.2
2020-01-14,Kovaipudur,4.4
2020-01-14,Selvapuram,0.7
2020-01-14,Kurichi,2.9
2020-01-14,Vadavalli,0.3
2020-01-15,Gandhipuram,0.2
2020-01-15,RS Puram,2.3
2020-01-15,Saibaba Colony,2.3
2020-01-15,Peelamedu,3.0
2020-01-15,Singanallur,3.9
2020-01-15,Saravanampatti,11.2
2020-01-15,Race Course,2.2
2020-01-15,Ukkadam,1.2
2020-01-15,Town Hall,4.8
2020-01-15,Kuniyamuthur,0.9
2020-01-15,Sundarapuram,1.7
2020-01-15,Podanur,0.2
2020-01-15,Thudiyalur,0.1
2020-01-15,Vadakovai,9.9
2020-01-15,Ganapathy,5.4
2020-01-15,Kalapatti,3.6
2020-01-15,Kovaipudur,1.6
2020-01-15,Selvapuram,0.6
2020-01-15,Kurichi,0.5
2020-01-15,Vadavalli,0.9
2020-01-16,Gandhipuram,2.4
2020-01-16,RS Puram,3.8
2020-01-16,Saibaba Colony,3.2
2020-01-16,Peelamedu,1.0
2020-01-16,Singanallur,9.3
2020-01-16,Saravanampatti,4.0
2020-01-16,Race Course,2.4
2020-01-16,Ukkadam,2.8
2020-01-16,Town Hall,1.6
2020-01-16,Kuniyamuthur,0.9
2020-01-16,Sundarapuram,1.3
2020-01-16,Podanur,4.3
2020-01-16,Thudiyalur,0.0
2020-01-16,Vadakovai,0.4
2020-01-16,Ganapathy,0.1
2020-01-16,Kalapatti,0.1
2020-01-16,Kovaipudur,5.8
2020-01-16,Selvapuram,3.6
2020-01-16,Kurichi,1.9
2020-01-16,Vadavalli,0.3
2020-01-17,Gandhipuram,2.0
2020-01-17,RS Puram,1.9
2020-01-17,Saibaba Colony,0.6
2020-01-17,Peelamedu,1.7
2020-01-17,Singanallur,1.5
2020-01-17,Saravanampatti,2.9
2020-01-17,Race Course,3.0
2020-01-17,Ukkadam,0.1
2020-01-17,Town Hall,1.4
2020-01-17,Kuniyamuthur,2.9
2020-01-17,Sundarapuram,2.1
2020-01-17,Podanur,5.8
2020-01-17,Thudiyalur,3.2
2020-01-17,Vadakovai,0.5
2020-01-17,Ganapathy,0.2
2020-01-17,Kalapatti,3.1
2020-01-17,Kovaipudur,0.1
2020-01-17,Selvapuram,2.6
2020-01-17,Kurichi,8.5
2020-01-17,Vadavalli,2.6
2020-01-18,Gandhipuram,1.5
2020-01-18,RS Puram,3.1
2020-01-18,Saibaba Colony,1.8
2020-01-18,Peelamedu,2.4
2020-01-18,Singanallur,8.5
2020-01-18,Saravanampatti,1.5
2020-01-18,Race Course,9.7
2020-01-18,Ukkadam,7.1
2020-01-18,Town Hall,0.7
2020-01-18,Kuniyamuthur,0.2
2020-01-18,Sundarapuram,0.3
2020-01-18,Podanur,0.1
2020-01-18,Thudiyalur,0.3
2020-01-18,Vadakovai,3.4
2020-01-18,Ganapathy,0.2
2020-01-18,Kalapatti,1.2
2020-01-18,Kovaipudur,5.6
2020-01-18,Selvapuram,0.1
2020-01-18,Kurichi,5.1
2020-01-18,Vadavalli,1.0
2020-01-19,Gandhipuram,0.4
2020-01-19,RS Puram,3.6
2020-01-19,Saibaba Colony,3.0
2020-01-19,Peelamedu,6.3
2020-01-19,Singanallur,4.0
2020-01-19,Saravanampatti,4.9
2020-01-19,Race Course,1.0
2020-01-19,Ukkadam,0.6
2020-01-19,Town Hall,4.2
2020-01-19,Kuniyamuthur,4.9
2020-01-19,Sundarapuram,14.0
2020-01-19,Podanur,1.6
2020-01-19,Thudiyalur,1.4
2020-01-19,Vadakovai,4.5
2020-01-19,Ganapathy,1.3
2020-01-19,Kalapatti,8.0
2020-01-19,Kovaipudur,5.9
2020-01-19,Selvapuram,1.7
2020-01-19,Kurichi,4.2
2020-01-19,Vadavalli,4.2
2020-01-20,Gandhipuram,0.3
2020-01-20,RS Puram,7.0
2020-01-20,Saibaba Colony,2.1
2020-01-20,Peelamedu,5.3
2020-01-20,Singanallur,1.2
2020-01-20,Saravanampatti,6.8
2020-01-20,Race Course,1.5
2020-01-20,Ukkadam,0.0
2020-01-20,Town Hall,7.1
2020-01-20,Kuniyamuthur,0.3
2020-01-20,Sundarapuram,1.2
2020-01-20,Podanur,9.0
2020-01-20,Thudiyalur,9.0
2020-01-20,Vadakovai,2.6
2020-01-20,Ganapathy,3.0
2020-01-20,Kalapatti,1.8
2020-01-20,Kovaipudur,1.0
2020-01-20,Selvapuram,1.2
2020-01-20,Kurichi,3.3
2020-01-20,Vadavalli,4.2
2020-01-21,Gandhipuram,4.7
2020-01-21,RS Puram,4.7
2020-01-21,Saibaba Colony,0.3
2020-01-21,Peelamedu,2.0
2020-01-21,Singanallur,0.2
2020-01-21,Saravanampatti,2.4
2020-01-21,Race Course,1.7
2020-01-21,Ukkadam,6.6
2020-01-21,Town Hall,1.3
2020-01-21,Kuniyamuthur,0.4
2020-01-21,Sundarapuram,0.5
2020-01-21,Podanur,4.3
2020-01-21,Thudiyalur,2.9
2020-01-21,Vadakovai,0.3
2020-01-21,Ganapathy,0.3
2020-01-21,Kalapatti,3.6
2020-01-21,Kovaipudur,0.2
2020-01-21,Selvapuram,5.2
2020-01-21,Kurichi,3.7
2020-01-21,Vadavalli,0.3
2020-01-22,Gandhipuram,0.3
2020-01-22,RS Puram,12.9
2020-01-22,Saibaba Colony,1.4
2020-01-22,Peelamedu,1.4
2020-01-22,Singanallur,5.0
2020-01-22,Saravanampatti,8.8
2020-01-22,Race Course,12.8
2020-01-22,Ukkadam,4.2
2020-01-22,Town Hall,1.4
2020-01-22,Kuniyamuthur,0.3
2020-01-22,Sundarapuram,4.5
2020-01-22,Podanur,2.5
2020-01-22,Thudiyalur,1.7
2020-01-22,Vadakovai,7.1
2020-01-22,Ganapathy,0.4
2020-01-22,Kalapatti,2.0
2020-01-22,Kovaipudur,0.0
2020-01-22,Selvapuram,1.9
2020-01-22,Kurichi,0.2
2020-01-22,Vadavalli,0.4
2020-01-23,Gandhipuram,0.4
2020-01-23,RS Puram,3.1
2020-01-23,Saibaba Colony,4.1
2020-01-23,Peelamedu,2.6
2020-01-23,Singanallur,9.8
2020-01-23,Saravanampatti,1.4
2020-01-23,Race Course,1.0
2020-01-23,Ukkadam,6.1
2020-01-23,Town Hall,0.8
2020-01-23,Kuniyamuthur,9.9
2020-01-23,Sundarapuram,0.0
2020-01-23,Podanur,10.5
2020-01-23,Thudiyalur,0.1
2020-01-23,Vadakovai,6.7
2020-01-23,Ganapathy,2.3
2020-01-23,Kalapatti,14.9
2020-01-23,Kovaipudur,0.2
2020-01-23,Selvapuram,2.4
2020-01-23,Kurichi,10.5
2020-01-23,Vadavalli,2.2
2020-01-24,Gandhipuram,3.0
2020-01-24,RS Puram,3.6
2020-01-24,Saibaba Colony,1.8
2020-01-24,Peelamedu,3.0
2020-01-24,Singanallur,2.6
2020-01-24,Saravanampatti,6.9
2020-01-24,Race Course,0.1
2020-01-24,Ukkadam,1.0
2020-01-24,Town Hall,9.0
2020-01-24,Kuniyamuthur,6.6
2020-01-24,Sundarapuram,1.8
2020-01-24,Podanur,2.9
2020-01-24,Thudiyalur,1.0
2020-01-24,Vadakovai,0.6
2020-01-24,Ganapathy,1.9
2020-01-24,Kalapatti,1.3
2020-01-24,Kovaipudur,2.6
2020-01-24,Selvapuram,0.2
2020-01-24,Kurichi,11.0
2020-01-24,Vadavalli,12.9
2020-01-25,Gandhipuram,3.6
2020-01-25,RS Puram,2.3
2020-01-25,Saibaba Colony,1.1
2020-01-25,Peelamedu,5.0
2020-01-25,Singanallur,3.5
2020-01-25,Saravanampatti,0.5
2020-01-25,Race Course,7.3
2020-01-25,Ukkadam,5.2
2020-01-25,Town Hall,9.0
2020-01-25,Kuniyamuthur,3.9
2020-01-25,Sundarapuram,2.9
2020-01-25,Podanur,1.6
2020-01-25,Thudiyalur,8.1
2020-01-25,Vadakovai,6.0
2020-01-25,Ganapathy,0.1
2020-01-25,Kalapatti,0.1
2020-01-25,Kovaipudur,1.4
2020-01-25,Selvapuram,5.0
2020-01-25,Kurichi,13.1
2020-01-25,Vadavalli,0.5
2020-01-26,Gandhipuram,2.7
2020-01-26,RS Puram,1.4
2020-01-26,Saibaba Colony,10.5
2020-01-26,Peelamedu,5.5
2020-01-26,Singanallur,5.5
2020-01-26,Saravanampatti,1.9
2020-01-26,Race Course,1.6
2020-01-26,Ukkadam,1.0
2020-01-26,Town Hall,0.2
2020-01-26,Kuniyamuthur,6.0
2020-01-26,Sundarapuram,5.0
2020-01-26,Podanur,24.5
2020-01-26,Thudiyalur,17.1
2020-01-26,Vadakovai,2.4
2020-01-26,Ganapathy,4.4
2020-01-26,Kalapatti,8.7
2020-01-26,Kovaipudur,5.7
2020-01-26,Selvapuram,0.9
2020-01-26,Kurichi,1.8
2020-01-26,Vadavalli,0.4
2020-01-27,Gandhipuram,9.2
2020-01-27,RS Puram,2.8
2020-01-27,Saibaba Colony,0.8
2020-01-27,Peelamedu,3.3
2020-01-27,Singanallur,2.9
2020-01-27,Saravanampatti,1.3
2020-01-27,Race Course,0.4
2020-01-27,Ukkadam,3.3
2020-01-27,Town Hall,2.2
2020-01-27,Kuniyamuthur,4.4
2020-01-27,Sundarapuram,2.2
2020-01-27,Podanur,5.7
2020-01-27,Thudiyalur,2.4
2020-01-27,Vadakovai,2.5
2020-01-27,Ganapathy,6.3
2020-01-27,Kalapatti,1.5
2020-01-27,Kovaipudur,0.4
2020-01-27,Selvapuram,0.1
2020-01-27,Kurichi,4.2
2020-01-27,Vadavalli,2.9
2020-01-28,Gandhipuram,3.7
2020-01-28,RS Puram,0.7
2020-01-28,Saibaba Colony,0.4
2020-01-28,Peelamedu,0.0
2020-01-28,Singanallur,1.3
2020-01-28,Saravanampatti,2.7
2020-01-28,Race Course,1.5
2020-01-28,Ukkadam,1.7
2020-01-28,Town Hall,7.0
2020-01-28,Kuniyamuthur,1.3
2020-01-28,Sundarapuram,2.2
2020-01-28,Podanur,4.6
2020-01-28,Thudiyalur,1.5
2020-01-28,Vadakovai,2.9
2020-01-28,Ganapathy,5.9
2020-01-28,Kalapatti,9.0
2020-01-28,Kovaipudur,0.5
2020-01-28,Selvapuram,7.8
2020-01-28,Kurichi,2.0
2020-01-28,Vadavalli,0.9
2020-01-29,Gandhipuram,1.8
2020-01-29,RS Puram,11.7
2020-01-29,Saibaba Colony,2.0
2020-01-29,Peelamedu,1.2
2020-01-29,Singanallur,3.0
2020-01-29,Saravanampatti,0.8
2020-01-29,Race Course,0.2
2020-01-29,Ukkadam,0.4
2020-01-29,Town Hall,0.4
2020-01-29,Kuniyamuthur,0.5
2020-01-29,Sundarapuram,0.4
2020-01-29,Podanur,3.1
2020-01-29,Thudiyalur,0.6
2020-01-29,Vadakovai,1.3
2020-01-29,Ganapathy,6.8
2020-01-29,Kalapatti,1.9
2020-01-29,Kovaipudur,3.3
2020-01-29,Selvapuram,0.6
2020-01-29,Kurichi,0.6
2020-01-29,Vadavalli,0.1
2020-01-30,Gandhipuram,0.6
2020-01-30,RS Puram,1.0
2020-01-30,Saibaba Colony,0.6
2020-01-30,Peelamedu,0.3
2020-01-30,Singanallur,0.4
2020-01-30,Saravanampatti,1.9
2020-01-30,Race Course,0.7
2020-01-30,Ukkadam,1.4
2020-01-30,Town Hall,2.1
2020-01-30,Kuniyamuthur,3.5
2020-01-30,Sundarapuram,0.1
2020-01-30,Podanur,4.8
2020-01-30,Thudiyalur,3.0
2020-01-30,Vadakovai,0.3
2020-01-30,Ganapathy,6.2
2020-01-30,Kalapatti,7.6
2020-01-30,Kovaipudur,0.2
2020-01-30,Selvapuram,1.0
2020-01-30,Kurichi,4.9
2020-01-30,Vadavalli,4.1
2020-01-31,Gandhipuram,0.6
2020-01-31,RS Puram,0.7
2020-01-31,Saibaba Colony,1.4
2020-01-31,Peelamedu,2.0
2020-01-31,Singanallur,2.9
2020-01-31,Saravanampatti,1.4
2020-01-31,Race Course,1.9
2020-01-31,Ukkadam,4.1
2020-01-31,Town Hall,0.1
2020-01-31,Kuniyamuthur,0.9
2020-01-31,Sundarapuram,3.7
2020-01-31,Podanur,6.8
2020-01-31,Thudiyalur,2.2
2020-01-31,Vadakovai,2.3
2020-01-31,Ganapathy,0.3
2020-01-31,Kalapatti,1.8
2020-01-31,Kovaipudur,2.3
2020-01-31,Selvapuram,0.8
2020-01-31,Kurichi,0.9
2020-01-31,Vadavalli,1.4
2020-02-01,Gandhipuram,0.1
2020-02-01,RS Puram,1.2
2020-02-01,Saibaba Colony,0.7
2020-02-01,Peelamedu,1.2
2020-02-01,Singanallur,0.4
2020-02-01,Saravanampatti,6.6
2020-02-01,Race Course,2.7
2020-02-01,Ukkadam,3.4
2020-02-01,Town Hall,4.7
2020-02-01,Kuniyamuthur,2.1
2020-02-01,Sundarapuram,0.3
2020-02-01,Podanur,2.3
2020-02-01,Thudiyalur,2.7
2020-02-01,Vadakovai,4.1
2020-02-01,Ganapathy,1.7
2020-02-01,Kalapatti,0.4
2020-02-01,Kovaipudur,1.0
2020-02-01,Selvapuram,1.4
2020-02-01,Kurichi,3.1
2020-02-01,Vadavalli,2.5
2020-02-02,Gandhipuram,1.3
2020-02-02,RS Puram,12.9
2020-02-02,Saibaba Colony,2.8
2020-02-02,Peelamedu,0.8
2020-02-02,Singanallur,0.3
2020-02-02,Saravanampatti,0.5
2020-02-02,Race Course,0.8
2020-02-02,Ukkadam,0.5
2020-02-02,Town Hall,0.6
2020-02-02,Kuniyamuthur,1.0
2020-02-02,Sundarapuram,0.6
2020-02-02,Podanur,6.8
2020-02-02,Thudiyalur,0.3
2020-02-02,Vadakovai,2.2
2020-02-02,Ganapathy,1.6
2020-02-02,Kalapatti,12.1
2020-02-02,Kovaipudur,0.4
2020-02-02,Selvapuram,1.5
2020-02-02,Kurichi,10.5
2020-02-02,Vadavalli,6.0
2020-02-03,Gandhipuram,5.1
2020-02-03,RS Puram,0.9
2020-02-03,Saibaba Colony,0.6
2020-02-03,Peelamedu,3.3
2020-02-03,Singanallur,8.0
2020-02-03,Saravanampatti,2.4
2020-02-03,Race Course,2.5
2020-02-03,Ukkadam,1.0
2020-02-03,Town Hall,4.4
2020-02-03,Kuniyamuthur,0.6
2020-02-03,Sundarapuram,1.2
2020-02-03,Podanur,1.7
2020-02-03,Thudiyalur,2.1
2020-02-03,Vadakovai,0.8
2020-02-03,Ganapathy,0.4
2020-02-03,Kalapatti,2.8
2020-02-03,Kovaipudur,1.0
2020-02-03,Selvapuram,2.6
2020-02-03,Kurichi,0.5
2020-02-03,Vadavalli,2.0
2020-02-04,Gandhipuram,2.3
2020-02-04,RS Puram,0.2
2020-02-04,Saibaba Colony,1.2
2020-02-04,Peelamedu,0.4
2020-02-04,Singanallur,0.2
2020-02-04,Saravanampatti,13.8
2020-02-04,Race Course,1.2
2020-02-04,Ukkadam,5.0
2020-02-04,Town Hall,0.9
2020-02-04,Kuniyamuthur,3.4
2020-02-04,Sundarapuram,4.3
2020-02-04,Podanur,2.7
2020-02-04,Thudiyalur,1.9
2020-02-04,Vadakovai,1.6
2020-02-04,Ganapathy,1.3
2020-02-04,Kalapatti,8.0
2020-02-04,Kovaipudur,5.3
2020-02-04,Selvapuram,10.1
2020-02-04,Kurichi,0.4
2020-02-04,Vadavalli,3.9
2020-02-05,Gandhipuram,8.4
2020-02-05,RS Puram,0.6
2020-02-05,Saibaba Colony,0.2
2020-02-05,Peelamedu,4.1
2020-02-05,Singanallur,2.6
2020-02-05,Saravanampatti,5.5
2020-02-05,Race Course,0.5
2020-02-05,Ukkadam,4.8
2020-02-05,Town Hall,0.7
2020-02-05,Kuniyamuthur,0.5
2020-02-05,Sundarapuram,0.5
2020-02-05,Podanur,5.1
2020-02-05,Thudiyalur,3.3
2020-02-05,Vadakovai,2.2
2020-02-05,Ganapathy,1.3
2020-02-05,Kalapatti,6.3
2020-02-05,Kovaipudur,1.5
2020-02-05,Selvapuram,5.1
2020-02-05,Kurichi,1.7
2020-02-05,Vadavalli,1.4
2020-02-06,Gandhipuram,1.9
2020-02-06,RS Puram,1.1
2020-02-06,Saibaba Colony,4.1
2020-02-06,Peelamedu,2.1
2020-02-06,Singanallur,0.8
2020-02-06,Saravanampatti,6.9
2020-02-06,Race Course,1.5
2020-02-06,Ukkadam,2.4
2020-02-06,Town Hall,7.1
2020-02-06,Kuniyamuthur,2.9
2020-02-06,Sundarapuram,0.4
2020-02-06,Podanur,8.4
2020-02-06,Thudiyalur,3.0
2020-02-06,Vadakovai,1.2
2020-02-06,Ganapathy,0.4
2020-02-06,Kalapatti,4.7
2020-02-06,Kovaipudur,2.9
2020-02-06,Selvapuram,2.3
2020-02-06,Kurichi,6.7
2020-02-06,Vadavalli,4.7
2020-02-07,Gandhipuram,0.5
2020-02-07,RS Puram,1.1
2020-02-07,Saibaba Colony,0.9
2020-02-07,Peelamedu,4.1
2020-02-07,Singanallur,0.1
2020-02-07,Saravanampatti,2.5
2020-02-07,Race Course,4.3
2020-02-07,Ukkadam,6.3
2020-02-07,Town Hall,1.3
2020-02-07,Kuniyamuthur,5.2
2020-02-07,Sundarapuram,0.4
2020-02-07,Podanur,5.6
2020-02-07,Thudiyalur,0.4
2020-02-07,Vadakovai,1.5
2020-02-07,Ganapathy,4.8
2020-02-07,Kalapatti,0.5
2020-02-07,Kovaipudur,0.8
2020-02-07,Selvapuram,3.8
2020-02-07,Kurichi,3.8
2020-02-07,Vadavalli,3.1
2020-02-08,Gandhipuram,3.6
2020-02-08,RS Puram,2.3
2020-02-08,Saibaba Colony,0.9
2020-02-08,Peelamedu,1.3
2020-02-08,Singanallur,0.6
2020-02-08,Saravanampatti,7.2
2020-02-08,Race Course,2.6
2020-02-08,Ukkadam,1.5
2020-02-08,Town Hall,1.9
2020-02-08,Kuniyamuthur,8.8
2020-02-08,Sundarapuram,0.5
2020-02-08,Podanur,2.6
